id;date;title;subtitle;categories;tags;person;post_type;slug;_repeating
1;;Vatikan: Kardinal Wurz hat schonmal einen Marienkäfer getötet;;Kultur;Vatikan;Kardinal Wurz;news;;
2;2019-01-10;USA: neues Einreiseverbot für Eintagsfliegen verabschiedet. Tierschützer sind entsetzt;;Ausland.Politik;Tiere;;news;;
3;;Fussball-WM: Nordkorea besiegt Südkorea nach Elfmeterschießen mit 0:0;;Sport.Fussball;Fussball-WM;;news;;
4;2018-02-13;Freibier für alle: Neue Regelungen ab März;;Politik.Deutschland;Bier;;news;;
5;;Donald Trump: “Ich habe eigentlich gar keine Ahnung von nix”;;Politik.Unterhaltung.Promis;;Donald Trump;news;;
6;;Nordkorea: Wir haben eine Wasserstoffbombe im Erdkern platziert;;Ausland;Nordkorea;;news;;
7;;Berlin: Proteste gegen irgendwas und irgendwen dauern an;;Berlin;Demonstration;;news;;
8;;Spanien: Massive Geldmengen Überschwemmungen das ganzen Land;;Ausland;Geld;;news;;
9;;Hessen: Auto stößt mit Straßenbahn zusammen. Beide verschmelzen zu einer “Autobahn”;;Deutschland;Auto;;news;;
10;;Donald Trump würde Putin heiraten wenn er eine Frau wäre;;Politik;;Donald Trump;news;;
11;;Russland: Neues Militärmanöver mit 200.000 Pappsoldaten angekündigt;;Ausland.Politik;Militär;;news;;
12;;Hillary Clinton erklärt Wahlniederlage. Sie war nicht rasiert;;Politik;;Hillary Clinton;news;;
13;;G20-Gipfel: Schwere Ausschreitungen zwischen Bullen und Pinguinen;;Politik.Ausland;G20;;news;;
14;;Nahost-Konflikt: Weiße Taube über Katar abgeschossen. VAE droht mit Krieg;;Politik.Ausland;;;news;;
15;;Neue Studie: Männer verbringen täglich 40 Minuten beim Kacken. Frauen nur 5;;Gesellschaft.Unterhaltung;Männer;;news;;
16;;SPD verkündet neuen Kuschelkurs;;Politik.Deutschland;SPD;;news;;
17;;Chinesen starten ersten bemannten Mondflug - Filmkopien von 1969 aufgetaucht;;;Raumfahrt;;news;;
18;;Merkel hat in ihrer Jugend Lambada getanzt;;;;Angela Merkel;news;;
19;;Entenhausen: Donald Duck als Schnatterheini angeklagt;;Unterhaltung;;;news;;
20;;CDU will Bürokratie abbauen und nach Afrika verlagern;;Politik.Deutschland;CDU;;news;;
21;;Berlin: Arabische Mafiaclans uneinig über Stadtaufteilung;;Berlin;Mafia-Clans;;news;;
22;;Tunesien: Antikes Lichtschwert entdeckt. Forscher rätseln;;Ausland.Unterhaltung;;;news;;
23;;Österreich: Urinprobe von Adolf Hitler entdeckt. Wissenschaftler wollen den “Führer” klonen und beweisen dass der böseste Mensch aller Zeiten unter normalen Bedingungen ein guter Mensch werden könne;;Ausland. Unterhaltung.Wissen;;Adolf Hitler;news;;
24;;Illegale Blastechnik in Bordellen erschüttert die Männerwelt;;Unterhaltung.Gesellschaft;Sex;;news;;
25;2016-05-05;Irakische Stadt Mossul befreit. General erklärt: Keine Schäden verursacht. Alle sind in Ihren Häusern und es gab keine Toten oder Verletzten.;;Politik.Ausland;Militär;;news;;
26;;Rainer Kallmund hat bei Rektaluntersuchungen “positives Gefühl”;;Unterhaltung.Promis;Eklig;Rainer Kallmund;news;;
27;;Islamischer Staat: “Haben das alles nicht gewollt”;;Politik.Ausland;;;news;;
28;;Hamburg: Musiker Ben Becker in Badewanne fast verdurstet;;Unterhaltung.Promis;;;news;;
29;;Bierfest in München eröffnet - über 1.000.000 Säufer erwartet;;Deutschland;Bier;;news;;
30;;"Kanzleramt: Toiletten laufen über wegen “übertriebenem Missbrauch"" - laut Polizei ";;Politik;Kanzleramt;;news;;
31;;Tour de France: Berg gesprengt weil er zu steil war;;Sport.Radsport;Tour de France;;news;;
32;;Till Schweiger: “Frauen stehen auf mich weil ich so einen großen Wackeldackel im Auto habe”;;Unterhaltung.Promis.Frauen;;Till Schweiger;news;;1
33;;Ulm: Autobahn-Rasthof durch wilde Feier der Polizei verwüstet.;;Deutschland;Polizei;;news;;1
34;;Alice Schwätzer: “Im Netz sollten mehr frauenfreundliche Sexvideos verbreitet werden”;;Unterhaltung.Promis;Sex;Alice Schwarzer;news;;
35;;Charlie Sheen: “Ich konnte noch nie bis 10 zählen. Bei 2 hört alles auf. Mehr brauch ich aber auch nicht zu wissen.”;;Unterhaltung.Promis;;Charlie Sheen;news;;
36;;Kardinal Furz beichtet: “Ich habe schonmal mit einer Frau geschlafen. Sie kam aus Thailand und hatte eine hohe Stimme”;;Unterhaltung.Gesellschaft;;;news;;
37;;Berlin: Pfusch am Bau des Berliner Flughafens nach 7 Jahren festgestellt - Maßnahmen unklar;;Berlin;BER;;news;;
38;;Berlin: Polizei erhält neue Wasserwerfer mit Bier statt Wasser;;Berlin;Polizei;;news;;
39;;Nach DNA-Test: Albert Einstein doch nicht Vater von Schlaubi Schlumpf;;Unterhaltung.Promis.Wissen;;Albert Einstein;news;;
40;;Hamburg: Fahrradfahrer von Blitz getroffen. Er kann nun angeblich die Zukunft vorhersehen. Besucher stehen Schlange;;Deutschland;;;news;;
41;;Sibirien: 140 Jahre Straflager für Heizungsinstallateur nach fehlerhafter Heizungsmontage;;Ausland.Unterhaltung;;;news;;
42;;Berlin: 2 Ordnungsamtsmitarbeiter zu 3 Jahren Haft verurteilt. Sie hatten sich vor fahrende Autos gestellt und diese dann direkt wegen Falschparkens abkassiert;;Berlin;Auto;;news;;
43;;Markus Lanz nimmt Gummibärchen als Glücksbringer mit ins Flugzeug;;Unterhaltung.Promis.Frauen;;Markus Lanz;news;;
44;;Türkei: Paulchen (5) ist heute zu spät ins Bett gegangen - Eltern verhaftet;;Ausland;;;news;;
45;;Prinz Wilhelm und Katy besuchen Swingerclub in Polen;;Unterhaltung.Promis;Royals;;news;;
46;;König Carl Lustsanft von Schweden hat seine Kronjuwelen verloren;;Ausland.Unterhaltung;Royals;;news;;
47;;Köln: Polizist verhaftet sich selbst wegen Trunkenheit am Steuer;;Deutschland;Polizei;;news;;
48;;München: Richter beendete NSU-Verhandlung in Wirklichkeit nur wegen der “Wiesn”;;Deutschland;Justiz;;news;;
49;;ISS: Kommandant sichtet den “Todesstern” und ruft “Luke Skywalker” um Hilfe;;;Raumfahrt;;news;;
50;;Spanien: 5-jähriger verbrennt sich die Hand als er in die Sonne fassen möchte;;Ausland.Unterhaltung;;;news;;1
51;;USA: Country-Sänger verhaftet weil Songtext nicht “subtil” genug war;;Ausland.Unterhaltung;Musik;;news;;
52;;USA: Donald Trump löscht seinen offiziellen Twitter-Account.Anhänger melden Großdemonstration an;;Ausland.Politik;;Donald Trump;news;;
53;;Vladimir Putin eröffnet Luxus-Restaurant mit dem Namen “Ras-Putin”;;Ausland.Unterhaltung;;Vladimir Putin;news;;
54;;Korea-Krise: Militär gräbt Tunnel bis nach Seoul und will in Südkoreaner mit Deutschen Senfeiern und Rosenkohl vergiften. Südkorea ist gewarnt;;Ausland.Politik;Militär;;news;;
55;;Warschau: Polizist mit Strohhalm gefesselt;;Ausland;Polizei;;news;;
56;;Hessen: Blitz schlägt in Frau ein und die leitet den Blitz direkt an ihren verhassten Ex-Ehemann weiter - tot;;Deutschland;;;news;;
57;;Rainer Kallmund: Ich bin als Kind in das Fass mit dem Zaubertrank gefallen;;Unterhaltung.Promis;;Rainer Kallmund;news;;1
58;;Angela Merkel: Nach Blitzschlag spricht Sie nur noch Klingonisch;;Unterhaltung.Promis;;Angela Merkel;news;;
59;;Tom Cruise leckt gern an Frauenfüßen;;Unterhaltung.Promis;;Tom Cruise;news;;
60;;G8-Dinner: Gekräuseltes Schamhaar in der Suppe löst diplomatische Krise zwischen USA und Frankreich aus;;Politik.Ausland;G8;;news;;
61;;Tennis: Tennis-Star Rafael Nadale hat sich in Wimbledon die Augenbrauen verstaucht und kann beim nächsten Turnier nicht antreten;;Sport.Tennis;;;news;;
62;;Donald Trump veranstaltet Puppentheater im Weißen Haus. Merkel nicht eingeladen;;Ausland.Politik;;Donald Trump.Angela Merkel;news;;
63;;Timbuktu: Neuer Präsident regiert aus einem Bus statt aus einem Palast weil es sicherer ist;;Politik.Ausland;;;news;;
64;;ISS: Raumfahrer mit Laserschwert im Rücken tot aufgefunden;;;Raumfahrt;;news;;
65;;Istanbul: Parkbesucher wegen zerknicktem Grashalm zu 30 Jahren Haft verurteilt;;Ausland.Politik;Justiz;;news;;
66;;Diego Maradonna gibt seine Hand an Jesus zurück;;Ausland.Unterhaltung;;Diego Maradonna;news;;1
67;;Hollywoodstar Tom Hardy ernährt sich vegan von Fuß-Pilzen;;Unterhaltung.Promis;;;news;;
68;;Russisches Atom-U-Boot taucht im Hudsen River in New York auf. Besatzung verteilt Matroschkas und Vodka an Schulkinder;;Ausland.Politik;Militär;;news;;
69;;Hat die Form einer Kartoffel: Neu entdeckter Zwerg-Planet bekommt den Namen ”Kallmund”;;Unterhaltung.Wissen;Raumfahrt;Rainer Kallmund;news;;
70;;Donald Trump lädt Dennis Rodman ins Weiße Haus ein um mehr über Nordkorea zu lernen;;Ausland.Politik;Nordkorea;Donald Trump;news;;
71;;Köln: Falscher Polizist verhaftet Polizisten und raubt ihn aus ;;Deutschland;Polizei;;news;;
72;2.10.2019;München: Islamisten stürmen Oktoberfest und stolpern über Biergläser. 12 Biergläser beschädigt.;;Deutschland.Unterhaltung;Oktoberfest;;news;;
73;;Pop-Star Shakira färbt sich die Haare rot: Aber nicht auf dem Kopf;;Unterhaltung.Promis.Männer;Musik;Shakira;news;;
74;;Mila Kunis rasiert sich zweimal täglich.. und zwar am Rücken;;Unterhaltung.Promis.Männer;;;news;;
75;;"Berlin: Merkel besucht Affengehege im Zoo. Alle Affen fressen Ihr aus der Hand - bis auf einen der schmollt allein in der Ecke. er trägt den Spitznamen “Merzi""";;Berlin.Politik;;Angela Merkel;news;;
76;;Deutsches U-Boot taucht nach 78 Jahren Feindfahrt vor Irischer Küste wieder auf. Besatzung ist außer Atem;;Deutschland;Militär;;news;;
77;;USA: Facebook-Rechenzentrum stürzt ein weil Festplatten zu schwer geworden sind;;Ausland.Digital;Facebook;;news;;
78;;Künstliche Intelligenz schaltet nach mehreren Monaten Berechnungphase Facebook ab;;Digital.Unterhaltung;Facebook.KI;;news;;1
79;;Madrid: CR007 zahlt wieder Steuern - Spaniens Finanzhaushalt gerettet;;Wirtschaft.Sport.Fussball;;Christiano Ronaldo;news;;
80;;Spanischer Eroberer erreicht nach 420 Jahren Kuba im Paddelboot;;Wissen.Geschichte.Unterhaltung;;;news;;
81;;Österreich: Wissenschaftler wollen Ötzi klonen und entnehmen Disk Jockey DNA;;Wissen.Unterhaltung.Ausland;;;news;;
82;;Popstar Shakira bekennt sich als Nymphomanin: “Habe schon als 14-Jährige Männer vernascht”;;Unterhaltung.Promis.Männer;Musik;Shakira;news;;
83;;Nach Besuch in Algerischem Restaurant: Peter Altmeier hat die Hosen gestrichen voll;;Politik.Deutschland;;;news;;1
84;;Chinesischer Investor übernimmt letztes Eigentumshaus in Hamburg;;Gesellschaft.Unterhaltung;;;news;;
85;;Berlin zur Touristenzone erklärt. Bewohner sollen Stadt verlassen;;Berlin.Politik;Tourismus;;news;;
86;;Türkei: 4-Jähriger wegen Terrorismusverdacht festgenommen weil er mit einer Lego-Figur spielte die wie Gülen aussah;;Ausland.Politik;Terrorismus.Justiz;;news;;1
87;;USA: 14-Jähriger begeht Selbstmord weil sein Instagram-Account gehackt wurde;;Ausland.Digital.Unterhaltung;Instagram;;news;;
88;;Präsident Erdogan ruft Osmanisches Reich aus. Österreich befestigt vorsichtshalber schonmal die Stadtmauern von Wien;;Ausland.Politik;;;news;;
89;;Tennis-Legende Boris Becker hat gestanden 2 Tage nicht GeParshiped zu haben. Polizei ermittelt wegen unterlassener Internetleistung;;Sport.Tennis.Unterhaltung.Promis;;Boris Becker;news;;
90;;Fussball-Trainer Pep Guardiola wird in Wirklichkeit von einem indischen Voodoo-Guru kontrolliert;;Sport.Fussball;;;news;;1
91;;Hauptsache fällt es niemandem auf: Angela Merkel hat 2 Doubles und kann daher in Brüssel.Moskau und Berlin gleichzeitig sein;;Deutschland.Politik;;Angela Merkel;news;;
92;;Heidi Klum geht Kooperation mit YouPorn ein und lädt 500 Määäädchen zum Casting ein;;Unterhaltung.Promis.Männer;;Heidi Klum;news;;1
93;;Hurrikan “Landwind” vom US-Militär aufgesaugt und in Nordkorea wieder ausgeblasen;;Ausland.Politik;Wetter.Militär;;news;;
