id;date;title;subtitle;categories;tags;url
1;1.1.2019;Statistisch gehen hat jeder Mensch 6 Doppelgänger auf der Welt die zu 99% genauso aussehen wie er;;;;
2;2.1.2019;2% aller Männer glauben dass die Schwiegermutter in Wirklichkeit ein außerirdisches Schlangenwesen ist;;;;
3;3.1.2019;Mit 21% ist die Pizza Salami die am häufigsten  bestellte Sorte bei Online-Lieferdiensten;;;;
4;4.1.2019;66% der CDU-Wähler sind mit ihrem Sexualleben zufrieden;;;;
5;5.1.2019;4% aller Männer bestätigen das sie Essen auf der Toilette verstecken welches sie dann beim Stuhlgang heimlich verzehren;;;;
6;6.1.2019;0,3% aller Unfälle in Kanada haben mit Elchen zu tun;;;;
7;7.1.2019;Geschätzt 82% aller Politiker wollen das eigene Volk für Dumm verkaufen;;;;
8;8.1.2019;84% aller Menschen die ihren Hintern auf einem Photokopierer kopieren machen es “aus Versehen”;;;;
9;9.1.2019;In London ist es per Gesetz verboten seine Frau nach 21 Uhr zu schlagen;;;;
10;10.1.2019;86% aller Menschen nehmen sich für den nächsten Tag etwas vor und machen es dann doch nicht.;;;;
11;11.1.2019;In Deutschen Büros gibt es pro Minute im Durchschnitt über 51.000 Klobesuche;;;;
12;12.1.2019;Iren verursachen beim Skifahren statistisch gesehen 5 Mal so viele Unfälle wie Deutsche oder Amerikaner;;;;
13;13.1.2019;17% aller Verschwörungstheoretiker glauben dass die Zombie-Apokalypse noch diesen Monat stattfinden wird und im Weißen Haus beginnt.;;;;
14;14.1.2019;78% aller Warmduscher haben schon einmal kalt geduscht;;;;
15;15.1.2019;Laut einer Studie hatte mehr als 20% aller Ehemänner schonmal den Gedanken durch die Zeit zurückzureisen und ihre nervige Frau als Hexe im Mittelalter zu brandmarken;;;;
16;16.1.2019;Frauen sind bei steigender Raumtemperatur produktiver. Bei Männern nimmt die Leistungsfähigkeit bei höheren Raumtemperaturen hingegen ab.;;;;
17;17.1.2019;Laut einer Statistik überleben nur 2 von 10 Crash-Test-Dummies einen Unfall den sie selbst nicht verursacht haben;Hohe Sterberate;;;
18;18.1.2019;Die meisten Deutschen kochen ihre Eier 7 Minuten lang;;;Essen und Trinken;
19;19.1.2019;70% aller Russen glauben dass Wodka warm hält weil es so viele rote Blutkörperchen enthält;;;;
20;20.1.2019;Das Menschliche Herz schlägt im Durchschnitt 2,5 Milliarden Mal im Leben;;;;
21;21.1.2019;Eine durchschnittliche Frau verbringt 1 Jahr ihres Lebens damit sich zu überlegen was sie anziehen soll, 4 Jahre mit Shoppen und über 6 Jahre damit über andere Leute zu lästern.;;;;
22;22.1.2019;21% aller Amerikaner glauben dass der häufigste Nachname der Deutschen “Schnitzel” ist;;Kultur;;
23;23.1.2019;92% aller Arbeitnehmer sind davon überzeugt dass ihr Chef die dämlicher ist als sie selbst;;Arbeit;;
24;24.1.2019;Donnerstags werden mit 12,8% die meisten Menschen geboren. Am Sonntag werden mit 10% die wenigsten geboren;;;;
25;25.1.2019;64% aller Stammtisch-Philosophen haben ihr Fachwissen aus dem Fernsehen;;Wissen;;
26;26.1.2019;In den USA gibt es mehr Massenschießerein pro Jahr als es Tage im Jahr gibt.;;;;
27;27.1.2019;Es gibt auf der Welt etwa 3 Mal so viele Hühner wie Menschen;;;;
28;28.1.2019;4 von 10 Verschwörungstheoretikern glauben das die “Area 51” in Wirklichkeit in der einundfünfzigsten Etage des News Yorker Trump-Towers zu finden ist und dort außerirdische Zwerge zum Sex angeboten werden;;;;
29;29.1.2019;17% der Frauen haben schonmal eine Kleinigkeit in ihrem BH “mitgehen lassen”.;;;;
30;30.1.2019;Schätzungen gehen davon aus dass es in Deutschland 500.000 Sexsüchtige gibt. Davon sind ca. 20% Frauen;;;;
31;31.1.2019;In den letzten 3000 Jahren gab es nur 268 Jahre in denen kein Krieg auf der Welt herrschte;Der Weltfrieden ist nah;;;
32;1.2.2019;Über 90% aller Menschen glauben dass Geld stinkt. Aber es ist ihnen egal.;;;;
33;2.2.2019;0,002% der männlichen Weltbevölkerung beherbergen Sackratten;;;;
34;3.2.2019;Wenn man weit genug in die Vergangenheit zurückgeht ist irgendwann im Prinzip jeder dein Vorfahre. Ich stamme also von Königin Cleopatra ab?;;;;
35;4.2.2019;Einer von hundert Menschen würden sich auf dem Mars internieren lassen wenn sie jemand dort hinbringen würde;;;;
36;5.2.2019;5% der Männer und 8% der Frauen hatten schonmal gleichgeschlechtliche Sexualkontakte;;;;
37;6.2.2019;Ca. 20% aller Menschen leiden an chronischer Blödheit;;;;
38;7.2.2019;Eine Studie besagt dass je mehr Apps auf einem Smartphone installiert sind desto länger verbringt der Besitzer Zeit auf der Toilette;;;;
39;8.2.2019;Alle Monate die mit einem Sontag beginnen haben einen Freitag den 13.;;;;
40;9.2.2019;Laut einer Studie gibt es Frauen auf der Welt die;;;;
41;10.2.2019;Bisher hat es nur ein einziger Mensch geschafft auf dem Mond einzupullern. Buzz Aldrin, 1969, Apollo 11;Den Raumanzug konnte er aber nicht ausziehen;;;
42;11.2.2019;82% aller Frauen mit Kurzhaarfrisuren betrachten ihre Frisur als Zeichen der weiblichen Selbstbestimmung und feministischen Befreiung ;;;;
43;12.2.2019;82% aller weiblichen Rentner in Deutschland glauben das Florian Silbereisen der netteste Nachbar von nebenan an. 86% aller männlichen Rentner glauben dass die netteste Nachbarin von neben Helene Fischer ist.;;;;
44;13.2.2019;4% aller Deutschen glauben an Hexen. Etwa die Hälfte davon glauben dass ihre eigene Schwiegermutter eine Hexe ist weil sie sie schonmal auf einem Besen beim Rumfliegen gesehen hätten;;;;
45;14.2.2019;Biologisch betrachtet gibt es 7,8 Milliarden Arschlöcher auf der Welt. Tendenz steigend;Jeder Mensch hat eins;;;
46;15.2.2019;71% aller Männer haben im Schwimmbad schonmal einen Ständer bekommen;;;;
47;16.2.2019;Ein durchschnittliche Diät einen US-Amerikaners besteht zu 56% aus Junk-Food;;;;
48;17.2.2019;68% aller Frauen glauben an Sternzeichen. 30% von ihnen glauben sogar die Sterne selbst deuten zu können;;;;
49;18.2.2019;62% aller Bodybuilder gehen nur ins Fitness-Studio um Frauen zu imponieren;;;;
50;19.2.2019;56% aller Frauen zwischen 18-40 Jahren pimpen ihr Dekolleté auf weil sie glauben dass bei den Männern sofort das Herz in Hose rutscht wenn sie sie anschauen;;;;
51;20.2.2019;Statistisch gesehen mögen 78% aller Frauen die Weißwein trinken auch Katzen;;;;
52;21.2.2019;4% aller Deutschen glauben dass “Mangroven” Früchte aus Asien sind;;;;
53;22.2.2019;84% aller Männer die länger als 30 Minuten auf Klo verbringen verlieren den größten Teil ihrer Körperwärme durch Schwitzen auf dem Kopf;;;;
54;23.2.2019;Menschen die vor dem Einschlafen Schafe zählen schaffen es statisch gesehen bis zur Zahl 67 bis sie einschlafen oder wieder aufstehen;;;;
55;24.2.2019;8 von 10 Schafen können andere Schafe auf Photos erkennen.;;;;
