id;date;title;subtitle;content;categories;tags;person;repeatable;teasable;image;
1;1.1.2018;Vatikan: Kardinal Wurz hat schonmal einen Marienkäfer getötet;;;Kultur;Vatikan;Kardinal Wurz;1;;;
2;2.1.2018;USA: neues Einreiseverbot für Eintagsfliegen verabschiedet. Tierschützer sind entsetzt;;;Ausland.Politik;Tiere;;1;;;
3;3.1.2018;Fussball-WM: Nordkorea besiegt Südkorea nach Elfmeterschießen mit 0:0;;;Sport.Fussball;Fussball-WM;;1;;;
4;4.1.2018;Freibier für alle: Neue Regelungen ab März;;;Politik.Deutschland;Bier;;1;;;
5;5.1.2018;Donald Trump: “Ich habe eigentlich gar keine Ahnung von nix”;;;Politik.Unterhaltung.Promis;;Donald Trump;1;;;
6;6.1.2018;Nordkorea: Wir haben eine Wasserstoffbombe im Erdkern platziert;;;Ausland;Nordkorea;;1;;;
7;7.1.2018;Berlin: Proteste gegen irgendwas und irgendwen dauern an;;;Berlin;Demonstration;;1;;;
8;8.1.2018;Spanien: Massive Geldmengen Überschwemmungen das ganzen Land;;;Ausland;Geld;;1;;;
9;9.1.2018;Hessen: Auto stößt mit Straßenbahn zusammen. Beide verschmelzen zu einer “Autobahn”;;;Deutschland;Auto;;1;;;
10;10.1.2018;Donald Trump würde Putin heiraten wenn er eine Frau wäre;;;Politik;;Donald Trump;1;;;
11;11.1.2018;Russland: Neues Militärmanöver mit 200.000 Pappsoldaten angekündigt;;;Ausland.Politik;Militär;;1;1;;
12;12.1.2018;Hillary Clinton erklärt Wahlniederlage. Sie war nicht rasiert;;;Politik;;Hillary Clinton;1;;;
13;13.1.2018;G20-Gipfel: Schwere Ausschreitungen zwischen Bullen und Pinguinen;;;Politik.Ausland;G20;;1;;;
14;14.1.2018;Nahost-Konflikt: Weiße Taube über Katar abgeschossen. VAE droht mit Krieg;;;Politik.Ausland;;;1;1;;
15;15.1.2018;Neue Studie: Männer verbringen täglich 40 Minuten beim Kacken. Frauen nur 5;;;Gesellschaft.Unterhaltung;Männer;;1;1;;
16;16.1.2018;SPD verkündet neuen Kuschelkurs;;;Politik.Deutschland;SPD;;1;;;
17;17.1.2018;Chinesen starten ersten bemannten Mondflug - Filmkopien von 1969 aufgetaucht;;;;Raumfahrt;;1;1;;
18;18.1.2018;Merkel hat in ihrer Jugend Lambada getanzt;;;;;Angela Merkel;1;;;
19;19.1.2018;Entenhausen: Donald Duck als Schnatterheini angeklagt;;;Unterhaltung;;;1;1;;
20;20.1.2018;CDU will Bürokratie abbauen und nach Afrika verlagern;;;Politik.Deutschland;CDU;;1;1;;
21;21.1.2018;Berlin: Arabische Mafiaclans uneinig über Stadtaufteilung;;;Berlin;Mafia-Clans;;1;1;;
22;22.1.2018;Tunesien: Antikes Lichtschwert entdeckt. Forscher rätseln;;;Ausland.Unterhaltung;;;1;;;
23;23.1.2018;Österreich: Wissenschaftler wollen den “Führer” klonen und beweisen dass der böseste Mensch aller Zeiten unter normalen Bedingungen ein guter Mensch werden könne;Urinprobe von Adolf Hitler entdeckt;;Ausland. Unterhaltung.Wissen;;Adolf Hitler;1;1;;
24;24.1.2018;Illegale Blastechnik in Bordellen erschüttert die Männerwelt;;;Unterhaltung.Gesellschaft;Sex;;1;;;
25;25.1.2018;Irakische Stadt Mossul befreit. General erklärt: Keine Schäden verursacht. Alle sind in Ihren Häusern und es gab keine Toten oder Verletzten.;;;Politik.Ausland;Militär;;1;;;
26;26.1.2018;Rainer Kallmund hat bei Rektaluntersuchungen “positives Gefühl”;;;Unterhaltung.Promis;Eklig;Rainer Kallmund;1;;;
27;27.1.2018;Islamischer Staat: “Haben das alles nicht gewollt”;;;Politik.Ausland;;;1;;;
28;28.1.2018;Hamburg: Musiker Ben Becker in Badewanne fast verdurstet;;;Unterhaltung.Promis;;;1;;;
29;29.9.2018;Bierfest in München eröffnet - über 1.000.000 Säufer erwartet;;;Deutschland;Bier;;1;1;;
30;30.1.2018;"Kanzleramt: Toiletten laufen über wegen “übertriebenem Missbrauch"" - laut Polizei ";;;Politik;Kanzleramt;;1;1;;
31;31.1.2018;Tour de France: Berg gesprengt weil er zu steil war;;;Sport.Radsport;Tour de France;;1;;;
32;1.2.2018;Till Schweiger: “Frauen stehen auf mich weil ich so einen großen Wackeldackel im Auto habe”;;;Unterhaltung.Promis.Frauen;;Till Schweiger;1;1;;
33;2.2.2018;Ulm: Autobahn-Rasthof durch wilde Feier der Polizei verwüstet.;;;Deutschland;Polizei;;1;;;
34;3.2.2018;Alice Schwätzer: “Im Netz sollten mehr frauenfreundliche Sexvideos verbreitet werden”;;;Unterhaltung.Promis;Sex;Alice Schwarzer;1;;;
35;4.2.2018;Charlie Sheen: “Ich konnte noch nie bis 10 zählen. Bei 2 hört alles auf. Mehr brauch ich aber auch nicht zu wissen.”;;;Unterhaltung.Promis;;Charlie Sheen;1;;;
36;5.2.2018;Kardinal Wurz beichtet: “Ich habe schonmal mit einer Frau geschlafen. Sie kam aus Thailand und hatte eine hohe Stimme”;;;Unterhaltung.Gesellschaft;;;1;;;
37;6.2.2018;Berlin: Pfusch am Bau des Berliner Flughafens nach 7 Jahren festgestellt - Maßnahmen unklar;;;Berlin;BER;;1;1;;
38;7.2.2018;Berlin: Polizei erhält neue Wasserwerfer mit Bier statt Wasser;;;Berlin;Polizei.Bier;;1;1;;
39;8.2.2018;Nach DNA-Test: Albert Einstein doch nicht Vater von Schlaubi Schlumpf;;;Unterhaltung.Promis.Wissen;;Albert Einstein;1;;;
40;9.2.2018;Hamburg: Fahrradfahrer von Blitz getroffen. Er kann nun angeblich die Zukunft vorhersehen. Besucher stehen Schlange;;;Deutschland;Lustig;;1;;;
41;10.2.2018;Sibirien: 140 Jahre Straflager für Heizungsinstallateur nach fehlerhafter Heizungsmontage;;;Ausland.Unterhaltung;Justiz;;1;;;
42;11.2.2018;Berlin: 2 Ordnungsamtsmitarbeiter zu 3 Jahren Haft verurteilt. Sie hatten sich vor fahrende Autos gestellt und diese dann direkt wegen Falschparkens abkassiert;;;Berlin;Auto.Justiz.Ordnungsamt;;1;1;;
43;12.2.2018;Markus Lanz nimmt Gummibärchen als Glücksbringer mit ins Flugzeug;;;Unterhaltung.Promis.Frauen;Glück;Markus Lanz;1;;;
44;13.2.2018;Türkei: Paulchen (5) ist heute zu spät ins Bett gegangen - Eltern verhaftet;;;Ausland;Kinder;;1;;;
45;14.2.2018;Prinz Wilhelm und Katy besuchen Swingerclub in Polen;;;Unterhaltung.Promis;Royals;;1;;;
46;15.2.2018;König Carl Lustsanft von Schweden hat seine Kronjuwelen verloren;;;Ausland.Unterhaltung;Royals;;1;;;
47;16.2.2018;Köln: Polizist verhaftet sich selbst wegen Trunkenheit am Steuer;;;Deutschland;Polizei;;1;;;
48;17.2.2018;München: Richter beendete NSU-Verhandlung in Wirklichkeit nur wegen der “Wiesn”;;;Deutschland;Justiz.Oktoberfest;;1;;;
49;18.2.2018;ISS: Kommandant sichtet den “Todesstern” und ruft “Luke Skywalker” um Hilfe;;;Wissen;Raumfahrt.ISS.Star Wars;;1;;;
50;19.2.2018;Spanien: 5-jähriger verbrennt sich die Hand als er in die Sonne fassen möchte;;;Ausland.Unterhaltung;Kinder;;1;;;
51;20.2.2018;USA: Country-Sänger verhaftet weil Songtext nicht “subtil” genug war;;;Ausland.Unterhaltung;Musik;;1;;;
52;21.2.2018;USA: Donald Trump löscht seinen offiziellen Twitter-Account. Anhänger melden Großdemonstration an;;;Ausland.Politik;;Donald Trump;1;;;
53;22.2.2018;Vladimir Putin eröffnet Luxus-Restaurant mit dem Namen “Ras-Putin”;;;Ausland.Unterhaltung;Gastronomie;Vladimir Putin;1;;;
54;23.2.2018;Korea-Krise: Militär gräbt Tunnel bis nach Seoul und will in Südkoreaner mit Deutschen Senfeiern und Rosenkohl vergiften. Südkorea ist gewarnt;;;Ausland.Politik;Militär.Korea-Konflikt;;1;;;
55;24.2.2018;Warschau: Polizist mit Strohhalm gefesselt;;;Ausland;Polizei;;1;;;
56;25.2.2018;Hessen: Blitz schlägt in Frau ein und die leitet den Blitz direkt an ihren verhassten Ex-Ehemann weiter - tot;;;Deutschland;Lustig;;1;;;
57;26.2.2018;Rainer Kallmund: Ich bin als Kind in das Fass mit dem Zaubertrank gefallen;;;Unterhaltung.Promis;Kinder;Rainer Kallmund;1;;;
58;27.2.2018;Angela Merkel: Nach Blitzschlag spricht Sie nur noch Klingonisch;;;Unterhaltung.Promis;Lustig;Angela Merkel;1;;;
59;28.2.2018;Tom Cruise leckt gern an Frauenfüßen;;;Unterhaltung.Promis;Fetisch;Tom Cruise;1;;;
60;1.3.2018;G8-Dinner: Gekräuseltes Schamhaar in der Suppe löst diplomatische Krise zwischen USA und Frankreich aus;;;Politik.Ausland;G8;;1;;;
61;2.3.2018;Tennis: Tennis-Star Rafael Nadale hat sich in Wimbledon die Augenbrauen verstaucht und kann beim nächsten Turnier nicht antreten;;;Sport.Tennis;;;1;;;
62;3.3.2018;Donald Trump veranstaltet Puppentheater im Weißen Haus. Merkel nicht eingeladen;;;Ausland.Politik;;Donald Trump.Angela Merkel;1;;;
63;4.3.2018;Timbuktu: Neuer Präsident regiert aus einem Bus statt aus einem Palast weil es sicherer ist;;;Politik.Ausland;;;1;;;
64;5.3.2018;ISS: Raumfahrer mit Laserschwert im Rücken tot aufgefunden;;;Wissen;Raumfahrt.ISS.Star Wars;;1;1;;
65;6.3.2018;Istanbul: Parkbesucher wegen zerknicktem Grashalm zu 30 Jahren Haft verurteilt;;;Ausland.Politik;Justiz;;1;;;
66;7.3.2018;Diego Maradonna gibt seine Hand an Jesus zurück;;;Ausland.Unterhaltung.Sport.Fussball;;Diego Maradonna;1;1;;
67;8.3.2018;Hollywoodstar Tom Hardy ernährt sich vegan von Fuß-Pilzen;;;Unterhaltung.Promis;;;1;;;
68;9.3.2018;Russisches Atom-U-Boot taucht im Hudsen River in New York auf. Besatzung verteilt Matroschkas und Vodka an Schulkinder;;;Ausland.Politik;Militär.Kinder;;1;1;;
69;10.3.2018;Neu entdeckter Zwerg-Planet bekommt den Namen ”Kallmund”;Hat die Form einer Kartoffel;;Unterhaltung.Wissen;Raumfahrt;Rainer Kallmund;1;;;
70;11.3.2018;Donald Trump lädt Dennis Rodman ins Weiße Haus ein um mehr über Nordkorea zu lernen;;;Ausland.Politik;Nordkorea;Donald Trump;1;1;;
71;12.3.2018;Köln: Falscher Polizist verhaftet Polizisten und raubt ihn aus ;;;Deutschland;Polizei.Lustig.Verbrechen;;1;1;;
72;13.3.2018;München: Islamisten stürmen Oktoberfest und stolpern über Biergläser. 12 Biergläser beschädigt.;;;Deutschland.Unterhaltung;Oktoberfest;;1;;;
73;14.3.2018;Pop-Star Shakira färbt sich die Haare rot: Aber nicht auf dem Kopf;;;Unterhaltung.Promis.Männer;Musik;Shakira;1;;;
74;15.3.2018;Mila Kunis rasiert sich zweimal täglich.. und zwar am Rücken;;;Unterhaltung.Promis.Männer;;;1;;;
75;16.3.2018;"Berlin: Merkel besucht Affengehege im Zoo. Alle Affen fressen Ihr aus der Hand - bis auf einen der schmollt allein in der Ecke. er trägt den Spitznamen “Merzi""";;;Berlin.Politik;;Angela Merkel;1;;;
76;17.3.2018;Deutsches U-Boot taucht nach 78 Jahren Feindfahrt vor Irischer Küste wieder auf. Besatzung ist außer Atem;;;Deutschland;Militär;;1;;;
77;18.3.2018;USA: Facebook-Rechenzentrum stürzt ein weil Festplatten zu schwer geworden sind;;;Ausland.Digital;Facebook;;1;;;
78;19.3.2018;Künstliche Intelligenz schaltet nach mehreren Monaten Berechnungphase Facebook ab;;;Digital.Unterhaltung;Facebook.KI;;1;;;
79;20.3.2018;Madrid: CR007 zahlt wieder Steuern - Spaniens Finanzhaushalt gerettet;;;Wirtschaft.Sport.Fussball;;Christiano Ronaldo;1;;;
80;21.3.2018;Spanischer Eroberer erreicht nach 420 Jahren Kuba im Paddelboot;;;Wissen.Geschichte.Unterhaltung;;;1;1;;
81;22.3.2018;Österreich: Wissenschaftler wollen Ötzi klonen und entnehmen DJ DNA;;;Wissen.Unterhaltung.Ausland;;;1;1;;
82;23.3.2018;Popstar Shakira bekennt sich als Nymphomanin: “Habe schon als 14-Jährige Männer vernascht”;;;Unterhaltung.Promis.Männer;Musik;Shakira;1;;;
83;24.3.2018;Nach Besuch in Algerischem Restaurant: Peter Altmeier hat die Hosen gestrichen voll;;;Politik.Deutschland;;;1;;;
84;25.3.2018;Chinesischer Investor übernimmt letztes Eigentumshaus in Hamburg;;;Gesellschaft.Unterhaltung;;;1;;;
85;26.3.2018;Berlin zur Touristenzone erklärt. Bewohner sollen Stadt verlassen;;;Berlin.Politik;Tourismus;;1;;;
86;27.3.2018;Türkei: 4-Jähriger wegen Terrorismusverdacht festgenommen weil er mit einer Lego-Figur spielte die wie Gülen aussah;;;Ausland.Politik;Terrorismus.Justiz;;1;;;
87;28.3.2018;USA: 14-Jähriger begeht Selbstmord weil sein Instagram-Account gehackt wurde;;;Ausland.Digital.Unterhaltung;Instagram;;1;;;
88;29.3.2018;Präsident Erdogan ruft Osmanisches Reich aus. Österreich befestigt vorsichtshalber schonmal die Stadtmauern von Wien;;;Ausland.Politik;;;1;;;
89;30.3.2018;Tennis-Legende Boris Becker hat gestanden 2 Tage nicht GeParshiped zu haben. Polizei ermittelt wegen unterlassener Internetleistung;;;Sport.Tennis.Unterhaltung.Promis;;Boris Becker;1;;;
90;31.3.2018;Fussball-Trainer Pep Guardiola wird in Wirklichkeit von einem indischen Voodoo-Guru kontrolliert;;;Sport.Fussball;;;1;;;
91;1.4.2018;Hauptsache fällt es niemandem auf: Angela Merkel hat 2 Doubles und kann daher in Brüssel.Moskau und Berlin gleichzeitig sein;;;Deutschland.Politik;;Angela Merkel;1;;;
92;2.4.2018;Heidi Klum geht Kooperation mit YouPorn ein und lädt 500 Määäädchen zum Casting ein;;;Unterhaltung.Promis.Männer;;Heidi Klum;1;1;;
93;3.4.2018;Hurrikan “Landwind” vom US-Militär aufgesaugt und in Nordkorea wieder ausgeblasen;;;Ausland.Politik;Wetter.Militär;;1;1;;
94;4.4.2018;Britische Marine lässt neuen Flugzeugträger vom Stapel. Dieser kostete nur 47Mrd. Pfund;;;Ausland.Politik;Militär;;1;1;;
95;5.4.2018;Deutsches U-Boot aus dem Zweiten Weltkrieg in Bremerhaven eingelaufen. Kapitän: Wir waren 78 Jahre auf Feindfahrt haben aber niemanden mehr gesehen.;;;Ausland.Unterhaltung;Militär;;1;1;;
96;6.4.2018;103-jähriger Japanischer Soldat aus dem Zweiten Weltkrieg auf den Philippinen entdeckt;;;Ausland.Unterhaltung;Militär;;1;;;
97;7.4.2018;3 Jahre Jugendarbeit für einen Siebenjährigen weil er nicht am “Veggieday” teilnehmen wollte und seine Lehrerin als “Rohkostsau” beschimpfte;;;Deutschland.Unterhaltung.Gesellschaft;Justiz.Vegetarier;;1;;;
98;8.4.2018;Holland: Erstes EU-Land schafft Bargeld ab: Bevölkerung druckt Geld nun selbst;;;Ausland.Digital.Unterhaltung;EU.Geld;;1;;;
99;9.4.2018;Christian Spinnler sieht sich mit einem Shit-Storm konfrontiert weil er gesagt hat: “Ich stehe auf schöne Frauen”. Frauenaktivistin Beate Buhse kritisiert diese Aussage als Frauenverachtend;;;Unterhaltung.Promis.Männer;;;1;;;
100;10.4.2018;Donald Trump von intelligentem Computer als “dumm” eingestuft;;;Ausland.Digital.Unterhaltung;;Donald Trump;1;;;
101;11.4.2018;Frankreich: Polizist von Hinkelstein erschlagen. Hinterbliebene fordern Schadenersatz für den beschädigten Stein;;;Ausland.Unterhaltung;Polizei.Justiz;;1;;;
102;12.4.2018;US-Präsidentin Mila Kunis platzen die Brüste bei Weihnachtsansprache;;;Ausland.Unterhaltung.Promis.Männer;;Mila Kunis;1;;;
103;13.4.2018;Jörg Babbelmann wegen falscher Wettervorhersage vor Gericht: “Ich wusste nicht dass es am Wochenende doch regnen würde”;;;Deutschland.Unterhaltung;Wetter.Justiz;Jörg Kachelmann;1;;;
104;14.4.2018;Hollywood-Star Brad Pitt kehrt nach 7 Jahren aus Tibet zurück: “Ich habe jetzt Dauerfrostbeulen und nur noch 6 Fußzehen”;;;Ausland.Unterhaltung.Promis;;Brad Pitt;1;;;
105;15.4.2018;George Clooney nach Beinamputation: “Endlich lassen mich die Frauen in Ruhe”;;;Unterhaltung.Promis.Frauen;;;1;;;
106;16.4.2018;Software-Panne: Facebook von eigener KI-Software als “menschlich fragwürdig” eingestuft;;;Digital.Unterhaltung;Facebook.KI;;1;;;
107;17.4.2018;Moskau: Flughafen wegen Unwetter geschlossen. Bodenpersonal feiert Orgie und besäuft sich;;;Ausland.Unterhaltung;Wetter;;1;;;
108;18.4.2018;Motzi Mabuse steht auf “große Deutsche Bratwürste”;;;Unterhaltung.Promis.Männer;;;1;;;
109;19.4.2018;Formel1-Rennfahrer Lewis Hamilton heiratet Boxenluder in Bahrain;;;Sport.Formel1.Unterhaltung.Promis;;Lewis Hamilton;1;;;
110;20.4.2018;Pakistan: 7 Kühe vor Gericht wegen öffentlicher Freizügigkeit ;;;Ausland.Politik;Justiz;;1;;;
111;21.4.2018;Malaysia: Schimpanse wegen Kindesentführung zu 10 Jahren Haft verurteilt. Verteidiger geht in Revision und plädiert auf Unzurechnungsfähigkeit. Der Affe habe nur seinen Bananentrieb befriedigen wollen und war zur Tatzeit betrunken;;;Ausland.Unterhaltung;Justiz;;1;;;
112;22.4.2018;Helene Fischer schlürft eine Maß Bier in einem Zug weg. “Ich war schon als Kind ein Schluckspecht”;;;Unterhaltung.Promis.Männer;Bier;Helene Fischer;1;;;
113;23.4.2018;Frankreich: Regierung erhöht Kindergeld um 12 Cent;;;Ausland.Politik;;;1;;;
114;24.4.2018;Polen: Frau heiratet Ochsen;;;Ausland.Unterhaltung;;;1;;;
115;25.4.2018;Rainer Kallmund bekommt Elefantenmagen transplantiert;;;Unterhaltung.Promis;Eklig;Rainer Kallmund;1;;;
116;26.4.2018;Barbara Schöneberger schickt ihre 4 Hornochsen in die Wüste;;;Unterhaltung.Promis.Frauen;;;1;;;
117;27.4.2018;Hollywood-Legende Kirk Douglas wird 150: “Ich fühle mich immer noch so frisch wie ein 110-Jähriger”;;;Unterhaltung.Promis;;;1;;;
118;28.4.2018;43-Jähriger Japaner hat bereits 17.600,500,840 Schafe im Schlaf gezählt.. und er zählt weiter;;;Unterhaltung.Gesellschaft;;;1;;;
119;29.4.2018;Kapitän der Indischen Marine hat sich beim Anblasen seines U-Bootes verschluckt;;;Ausland.Unterhaltung;Militär;;1;;;
120;30.4.2018;Bruno Poperzi nach 7-tägiger Dauerfresserei geplatzt.;;;Unterhaltung.Gesellschaft;;;1;;;
121;1.5.2018;Los Angeles: 4 Frauen bei Einweihungsfeier verdurstet weil der Wein zu trocken war;;;Unterhaltung.Gesellschaft;;;1;;;
122;2.5.2018;Afghanischer Top-Terrorist Yussuf Bombasti offenbar auf dem Mond untergetaucht;;;Ausland.Politik;Raumfahrt.Terrorismus;;1;;;
