id;subtitle;title;date;categories;tags;person;post_type;slug
;;Vatikan: Kardinal Wurz hat schonmal einen Marienkäfer getötet;;Kultur;Vatikan;Kardinal Wurz;news;
;;USA: neues Einreiseverbot für Eintagsfliegen verabschiedet. Tierschützer sind entsetzt;2019-01-10;Ausland.Politik;Tiere;;news;
;;Fussball-WM: Nordkorea besiegt Südkorea nach Elfmeterschießen mit 0:0;;Sport.Fussball;Fussball-WM;;news;
;;Freibier für alle: Neue Regelungen ab März;2018-02-13;Politik.Deutschland;Bier;;news;
;;Donald Trump: “Ich habe eigentlich gar keine Ahnung von nix”;;Politik.Unterhaltung.Promis;;Donald Trump;news;
;;Nordkorea: Wir haben eine Wasserstoffbombe im Erdkern platziert;;Ausland;Nordkorea;;news;
;;Berlin: Proteste gegen irgendwas und irgendwen dauern an;;Berlin;;;news;
;;Spanien: Massive Geldmengen Überschwemmungen das ganzen Land;;Ausland;Geld;;news;
;;Hessen: Auto stößt mit Straßenbahn zusammen. Beide verschmelzen zu einer “Autobahn”;;Deutschland;Auto;;news;
;;Donald Trump würde Putin heiraten wenn er eine Frau wäre;;Politik;;Donald Trump;news;
;;Russland: Neues Militärmanöver mit 200.000 Pappsoldaten angekündigt;;Ausland.Politik;Militär;;news;
;;Hillary Clinton erklärt Wahlniederlage. Sie war nicht rasiert;;Politik;;Hillary Clinton;news;
;;G20-Gipfel: Schwere Ausschreitungen zwischen Bullen und Pinguinen;;Politik.Ausland;G20;;news;
;;Nahost-Konflikt: Weiße Taube über Katar abgeschossen. VAE droht mit Krieg;;Politik.Ausland;;;news;
;;Neue Studie: Männer verbringen täglich 40 Minuten beim Kacken. Frauen nur 5;;Gesellschaft.Unterhaltung;Männer;;news;
;;SPD verkündet neuen Kuschelkurs;;Politik.Deutschland;SPD;;news;
;;Chinesen starten ersten bemannten Mondflug - Filmkopien von 1969 aufgetaucht;;;Raumfahrt;;news;
;;Merkel hat in ihrer Jugend Lambada getanzt;;;;Angela Merkel;news;
;;Entenhausen: Donald Duck als Schnatterheini angeklagt;;Unterhaltung;;;news;
;;CDU will Bürokratie abbauen und nach Afrika verlagern;;Politik.Deutschland;CDU;;news;
;;Berlin: Arabische Mafiaclans uneinig über Stadtaufteilung;;Berlin;Mafia-Clans;;news;
;;Tunesien: Antikes Lichtschwert entdeckt. Forscher rätseln;;Ausland.Unterhaltung;;;news;
;;Österreich: Urinprobe von Adolf Hitler entdeckt. Wissenschaftler wollen den “Führer” klonen und beweisen dass der böseste Mensch aller Zeiten unter normalen Bedingungen ein guter Mensch werden könne;;Ausland. Unterhaltung.Wissen;;Adolf Hitler;news;
;;Illegale Blastechnik in Bordellen erschüttert die Männerwelt;;Unterhaltung.Gesellschaft;Sex;;news;
;;Irakische Stadt Mossul befreit. General erklärt: Keine Schäden verursacht. Alle sind in Ihren Häusern und es gab keine Toten oder Verletzten.;2016-05-05;Politik.Ausland;Militär;;news;
;;Rainer Kallmund hat bei Rektaluntersuchungen “positives Gefühl”;;Unterhaltung.Promis;Eklig;Rainer Kallmund;news;
;;Islamischer Staat: “Haben das alles nicht gewollt”;;Politik.Ausland;;;news;
;;Hamburg: Musiker Ben Becker in Badewanne fast verdurstet;;Unterhaltung.Promis;;;news;
;;Bierfest in München eröffnet - über 1.000.000 Säufer erwartet;;Deutschland;Bier;;news;
;;"Kanzleramt: Toiletten laufen über wegen “übertriebenem Missbrauch"" - laut Polizei ";;Politik;Kanzleramt;;news;
;;Tour de France: Berg gesprengt weil er zu steil war;;Sport.Radsport;Tour de France;;news;
;;Till Schweiger: “Frauen stehen auf mich weil ich so einen großen Wackeldackel im Auto habe”;;Unterhaltung.Promis.Frauen;;Till Schweiger;news;
;;Ulm: Autobahn-Rasthof durch wilde Feier der Polizei verwüstet.;;Deutschland;Polizei;;news;
;;Alice Schwätzer: “Im Netz sollten mehr frauenfreundliche Sexvideos verbreitet werden”;;Unterhaltung.Promis;Sex;Alice Schwarzer;news;
;;Charlie Sheen: “Ich konnte noch nie bis 10 zählen. Bei 2 hört alles auf. Mehr brauch ich aber auch nicht zu wissen.”;;Unterhaltung.Promis;;Charlie Sheen;news;
;;Kardinal Furz beichtet: “Ich habe schonmal mit einer Frau geschlafen. Sie kam aus Thailand und hatte eine hohe Stimme”;;Unterhaltung.Gesellschaft;;;news;
